Story ID,Increment,Title,UserStory,Business Value,Acceptance Criteria,Feature,Feedback on Uss,
US-Config-01,Increment-1,Support Airline-specific Origins,I want the system to support a list of origins marked by the airline,So that I can offer customers flights from various starting points,"If the airline marks a list of origins, then the system must support this list when providing origin options to the user.

If an administrator configures origins  via the admin interface, then the system must reflect these changes in the user interface.

If an agent selects an origin and destination for OW (One Way) or RT (Round Trip) itineraries, then the system must ensure these are different locations.

• Can be determined whether its of location type ""Airport"" or ""City""
• The Locations in the autosuggest are presented in the following format:
<city> - <airport> (<airport code>),<state>, <country> ",F1.1 - SC_F2_1//Search Criteria_Offer Search,"AY 14OCT: Who is the admin and do we AY get the Admin UI interface?
For drop1, would we get only a set of O&Ds ? Would it be limited to Finnair O&Ds?

TCS 28Oct: Yes. AY will get admin access, and it is restricted based on job role.
Yes only support Finnair O&D.

AY24NOV. In ref to O&D. Please clarify the ""only support Finnair O&D""; only Finnair destinations or only the fares that has been filed?
TCS07DEC: O&D configuration in admin UI based on Finnair's provided list. Admin UI's autocomplete list for origin and destination fields will display all locations provided by the airline, regardless of current flight routes, and the offer management system will determine if an offer is available.",
US-Config-02,Increment-1,Support Airline-specific Destinations,I want the system to support a list of destinations marked by the airline,So that I can offer customers flights to destinations marked by the airline,"If the airline marks a list of destinations, then the system must support this list when providing origin options to the user.

If an administrator configures destinations via the admin interface, then the system must reflect these changes in the user interface.

If an agent selects an origin and destination for OW (One Way) or RT (Round Trip) itineraries, then the system must ensure these are different locations.

• Can be determined whether its of location type ""Airport"" or ""City""
• The Locations in the autosuggest are presented in the following format:
<city> - <airport> (<airport code>),<state>, <country> ",F1.1 - SC_F2_1//Search Criteria_Offer Search,"AY 14OCT: Who is the admin and do we AY get the Admin UI interface?
For drop1, would we get only a set of O&Ds ? Would it be limited to Finnair O&Ds?

TCS 28Oct: Yes, AY will get admin access, and it is restricted based on job role.
Yes, Only support Finnair O&D.

AY24NOV. In ref to O&D. Please clarify the ""only support Finnair O&D""; only Finnair destinations or only the fares that has been filed? As an example; HEL-SYD.

TCS07DEC: O&D configuration in admin UI based on Finnair's provided list.Admin UI's autocomplete list for origin and destination fields will display all locations provided by the airline, regardless of current flight routes, and the offer management system will determine if an offer is available.",
US-Config-03,Increment-1,Support Airline-specific Cabin Types,"I want the system to support search for all cabin classes marketed by the airline
- Agent can apply Cabin filters on customer request",so that I can offer customers a range of seating or cabin options,"• The system must support search for one or all cabin classes.
Cabin classes must be configurable via the admin interface",F1.1 - SC_F2_1//Search Criteria_Offer Search,"AY 14OCT: Same as above for the Admin role and UI

TCS 28Oct: Yes, AY will get admin access, and it is restricted based on job role.",
US-Config-04,Increment-1,Support Airline-specific Fare Families per Cabin Types,I want the system to support configuration of Fare Familes per cabin classes marketed by the airline,So that agent can choose the fare family that best fits customer needs and budget,,F1.1 - SC_F2_1//Search Criteria_Offer Search,"AY 14OCT: Are there filters for Fare Family?

TCS28Oct: Yes, We have filter for fare families.",
US-Config-05,Increment-1,Support Airline-specific Trip Types,"I want the system to support a list of Trip types marked by the airline
- Agent can apply configured Trip types based on the customer request",So that agent can choose the trip type based on customer needs,"Iteration 1: Supported Trip Type is One way (OW) & Return (RT)
OW - 1 set of flight & Return date field is hidden or disabled 
RT - 2 sets of flight Outbound & Inbound. Return date is must",F1.1 - SC_F2_1//Search Criteria_Offer Search,AY 14OCT: OK,
US-Config-06,Backlog,Support Airline-specific Point of Sale (PoS)/ Market,"I want the system to support a list of Market/ PoS marked by the airline

I want the system to retrieve allowed origins and destinations based on the Point of Sale (POS)/ market",So that I can offer customers flights from their preferred Market/ Country,"• The system must retrieve allowed origins and destinations based on the POS.
• The system must have the capability to exclude certain Origins and Destinations for a PoS.",F1.1 - SC_F2_1//Search Criteria_Offer Search,"AY 14OCT: In PSS for office IDs we do have different currencies and different fare types. But O&Ds are not limited to any PoS.
On selecting a particualar PoS, during SmartBridge out, would the reconstructed PNRs be created in the Office ID dedicated to the PoS?

TCS28Oct: Need to check with 1A.
PoS is decided at login based on Oiffice Id, the agent uses.
1A: Ashwin will check and confirm

1A09NOV: Office Id Override can be passed in the JWT Authorization Header sent in every request. Presently, the currency will depend on the Origin City. But, it will be changed to Office Id, as that will be needed for Business Continuity (Ticketing after Payment). After reconstruction, it will be created in the Office id passed in the flow.

AY24NOV: AY assumption is that the final solution will be based on Office ID (not the origin city).
TCS07DEC: Ashwin need to respond.
TCS&1A: Ashwin check & Response.
1A13JAN: Final Solution will be based on Office Id. ",
US-Config-07,Increment-1,Support Airline-specific CFF,"I want the system to support a list of CFF marked by the airline
- Agent can apply CFF configured in the system during search",So that relavant CFFs are returned based on the market/ PoS or PoC,"Airline can configure list of CFFs per PoS/ Market

If an agent selects an Origin or PoS/ Market for any Trip Type, then the sytem has to provide the list of CFFs for the agent to select",F1.1 - SC_F2_1//Search Criteria_Offer Search,"AY 14OCT: Agents should not be selecting the CFF. The Fare family should be mapped to CFF. When agent selects a particualr Fare Family, the corresponding CFF should be selected automatically.
We believe that Admin UI should have the mapping capability.

TCS28Oct: Yes, Admin console have these capabilities. Need to discuss more on it.

1A& TCS: Savitha needs to plan demo to show AY how mapping will be done.

AY 24NOV. Demo to clarify the planned process.
TCS 7DEC: Savitha need to plan demo with AY. 
TCS 25 Feb : AY demo planned on 27 Feb 2026",
US-Config-08,Increment-1,Support Airline-specific Frequent Flyer Program,"I want the system to support a list of Frequent Flyer Program needed by the airline
- Agent can choose a configured Frequent Flyer Program on the customer preference/ request",so that I can offer customers a range of FFPs,"Support Frequent flyer program selection 
",F1.1 - SC_F2_1//Search Criteria_Offer Search,"AY 14OCT: Is the list of FFPs mean only select the tier name? The UI should allow Agents to input the Frequent flyer number. 
Also Agents should be able to select other airlines FFPs.

TCS 28Oct: Frequent flyer program  will be available  based on configuration and agent can enter FFN manually.
Yes, agent can select partner airlines FFPs if configured.

AY24NOV: Is the configuration managed by airlines in Admin UI?
TCS 7DEC: Yes, configuration can be managed by airlines using Admin UI. Savitha will show in demo.
TCS 25 Feb : AY demo planned on 27 Feb 2026
",
US-Config-09,Increment-1,Support Airline-specific Language,"I want the system to support a list of Languages needed by the airline
- Agent can choose a language configured in the system",So that agent can choose a language the agent & customer understands,"Support language selection 
Available languages - EN, …
All labels, error message and dynamic content adapt based on the selected language",F1.1 - SC_F2_1//Search Criteria_Offer Search,"AY 14OCT: Currently agents refer the Amadeus Service Hub if they face any error. Would it affect the troubleshooting by Agent when they encounter error messages?

TCS 28Oct:  Agent need to check product manual and process documents to validate error message but need to recheck with 1A.
1A: Ashwin will share error documents
1A 09NOV: Ashwin will share error documents shortly. 
1A:AD:20NOV:Error messages shared in SharePoint. Link emailed.

AY24NOV: Finnair need to is to have Agent UI only in English, including error messages. 
TCS 7DEC: Noted and aligned.",
US-Config-10,Increment-1,Support Airline-specific Currency,"I want the system to handle searches based on currency
- Agent can choose a configured currency based on the customer request",So that I can offer customers flight prices in their preferred currency,"• The system must accept currency parameters in the shopping request.
• The system must return flight prices in the specified currency
Supported Currency: EUR, USD, …
 - Currency  changes update prices dynamically across the shopping flow",F1.1 - SC_F2_1//Search Criteria_Offer Search,"AY 14OCT: Currently PoS determines the currency in which the PNR will be ticketed. So when changing currency in the shopping flow, will it change the PoS?

TCS 28Oct: Currency will reflect based on PoS. Change in currency will not change the PoS.

AY24NOV: If there is a discrepancy between PoS and currency, would that not cause an error in ticketing (single-currency offices)?
TCS07DEC:Currency changes are not supported in the current UI, and office ID determines the point of sale and associated currency automatically through the API.",
